"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4090","navigate to form page","chromium","2026-08-14","passed","2026-08-14","","tests/usePageObjects.spec.ts","",""
"","3721","parametrized methods","chromium","2026-08-14","passed","2026-08-14","","tests/usePageObjects.spec.ts","",""
